No.,Country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
28,Switzerland,,,,,,,,78,54,71,53,47,51,49,57,51,132,147,95,110,202,233,114,76,58,67,44,34,44,59,51,55,47,59,57,50,88,62,59,75,148,147,166,111,102,136,175,249,264,,151,143,184,208,200,279,415,282,312
29,Sweden,,,,,,,,457,420,418,373,409,465,508,507,475,765,891,728,928,1040,1072,795,530,479,460,283,280,518,570,364,288,250,251,249,167,174,117,174,268,595,487,475,398,400,347,345,597,557,,200,193,223,245,175,245,286,266,240
29,Turkey,,,,,,,,,,,,,,,,,,50,69,88,208,291,110,24,8,17,3,1,4,3,0,0,3,4,0,4,5,8,4,2,4,5,1,3,8,6,4,8,18,,5,3,0,0,7,3,11,5,5
30,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,13,11,9,14,9,10,21,16,11,14,15,29,28,30,34,25,18,17,26,24,31,,8,7,6,10,6,7,32,51,28
31,Hungary,,,,,,,,35,51,62,47,55,50,82,61,86,92,81,54,50,70,46,48,24,28,15,9,8,9,11,10,11,6,12,10,6,11,6,9,13,12,13,13,19,15,12,7,12,13,,4,7,11,13,7,8,7,5,14
32,United Kingdom,,,,,,,,360,383,464,294,210,226,264,240,251,433,465,307,397,604,518,288,200,87,122,79,95,137,154,133,121,166,170,189,208,254,282,543,3072,17996,9165,6565,3502,3472,4434,4900,7779,7392,,2946,2596,2719,2383,2102,2655,3493,2227,2236
33,Italy,,,,,,,,186,201,216,151,176,250,314,276,237,586,464,386,1082,2010,2700,1375,351,179,223,88,141,172,199,160,155,211,223,273,307,302,311,300,413,891,813,922,549,535,515,521,705,583,,258,230,269,249,122,246,230,249,224
34,Czechoslovakia,252,207,240,224,172,225,279,268,254,202,221,312,233,210,192,158,215,125,157,165,159,114,141,136,162,109,78,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Yugoslavia,,,,,,,,228,160,141,117,106,61,48,77,92,138,128,56,148,286,479,229,60,49,52,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,USSR,208,225,266,299,183,172,155,149,90,55,64,55,52,43,62,51,79,167,52,51,71,58,61,27,28,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,3,0,0,5,3,0,0,2,1,2,10,0,0,3,5,3,,1,0,0,0,0,0,0,0,0
38,China,,0,0,0,1,4,,151,57,36,,3,,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,4,0,3,6,2,2,1,13,7,10,5,4,11,15,12,17,,4,6,5,5,2,3,3,2,9
39,Iraq,,,,,,,,,,,,,,,,,,14,21,22,31,18,10,8,9,7,4,1,2,6,5,0,1,2,1,2,0,1,5,5,1,0,2,0,0,0,3,4,0,,1,0,0,1,0,1,0,0,1
40,Israel,,,,5338,1895,757,445,74,93,5,30,44,37,37,27,21,50,45,13,29,27,12,10,15,23,5,8,6,7,11,11,10,18,4,16,9,12,4,10,7,16,9,13,10,17,11,6,15,10,,1,3,3,2,2,2,5,2,2
41,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,5,6,0,1,2,4,1,0,3,13,1,4,4,6,10,4,7,9,,5,1,1,2,4,0,1,2,5
42,Syria,,,,,,,,,,,,,,,,,,24,9,5,19,12,8,4,0,2,2,7,3,2,5,4,4,8,1,9,1,1,1,1,2,1,0,3,1,3,0,6,0,,1,0,0,0,0,0,0,0,0
43,Vietnam,,,,,,,,,,,,,,,,,,17,1,3,1,0,1,1,0,1,0,1,1,3,0,0,2,0,1,0,0,1,1,3,5,6,0,2,2,8,7,0,3,,0,4,0,1,0,0,2,7,1
44,Canada,1150,750,543,480,468,459,570,474,439,351,300,300,257,318,285,471,857,1017,1049,879,1052,1378,1398,1573,1586,1547,1232,1373,1457,1677,1348,1336,1076,1113,1206,1037,1016,800,657,808,1097,821,841,571,607,550,562,730,673,,176,177,202,172,96,116,140,145,109
45,United States of America,,2993,1879,1682,1247,1633,1835,1481,1814,944,1039,967,1190,1255,1293,1556,2651,2762,2486,2469,3318,3345,2770,2728,2493,2153,1960,2592,2767,3181,2490,2229,2217,2358,2572,2485,2676,2464,2404,2633,3951,3078,3158,1961,1767,1797,1597,2641,1877,,695,902,765,691,368,547,628,542,517
46,Argentina,31,30,13,18,12,16,19,18,21,35,8,14,8,15,14,7,9,6,6,4,16,6,1,1,1,4,3,0,1,4,2,2,4,1,2,2,0,2,0,4,2,2,4,4,1,3,1,9,1,,1,5,3,0,0,1,5,0,0
47,Brazil,19,28,12,22,7,11,22,6,10,8,13,3,5,9,14,13,14,15,2,11,11,10,9,5,3,2,5,3,2,2,1,1,3,0,7,3,1,4,1,1,7,6,6,5,4,10,10,16,8,,5,4,2,9,2,8,2,0,3
48,Algeria,,,,,,,,,,,,,,,,,,33,42,22,70,59,40,28,6,15,8,0,6,0,5,0,0,3,1,3,0,0,0,1,2,1,4,0,3,8,0,0,6,,2,1,1,0,0,0,0,1,1
49,Libya,,,,,,,,,,,,,,,,,,218,23,43,28,44,49,13,5,3,3,5,4,1,5,3,5,0,2,1,0,0,1,1,6,2,2,2,5,2,3,2,0,,1,0,0,0,0,0,1,0,0
50,Morocco ,,,,,,,,,,,,,,,,,,15,13,12,17,26,9,3,2,4,0,0,0,0,0,0,0,3,5,2,2,0,0,1,5,3,3,2,0,3,6,1,1,,0,0,1,4,1,1,1,1,2
51,South Africa,,,,,,,,,,,,,,,,,,32,10,18,13,39,25,17,25,41,33,43,38,43,52,28,49,40,26,35,33,10,9,32,52,18,27,16,3,19,14,21,15,,3,2,2,1,1,1,1,0,1
52,Tunisia,,,,,,,,,,,,,,,,,,7,9,3,13,11,3,4,1,8,4,3,9,1,0,2,2,0,0,1,1,1,4,0,1,1,3,1,0,4,2,6,9,,0,0,0,1,0,0,0,1,4
53,Australia,,,,,,,,153,135,80,69,84,97,113,117,243,468,637,461,439,461,542,415,305,338,318,277,234,304,353,315,239,277,239,179,244,187,165,165,223,369,233,239,227,163,175,199,307,225,,80,94,78,59,39,48,75,71,50
54,New Zealand,,,,,,,,5,0,0,2,2,0,1,2,3,21,0,11,5,6,12,5,2,6,9,5,2,20,30,6,1,16,13,13,6,17,13,18,20,43,29,21,17,11,17,17,23,39,,5,4,9,12,7,7,10,10,6
